Received time,Answer seconds,Completion seconds,Service time,Interarrival time
3637,13,46,33,67
3653,10,24,14,16
3685,9,50,41,32
3707,11,118,107,22
3708,9,58,49,1
3718,9,49,40,10
3746,9,35,26,28
3764,9,48,39,18
3788,9,37,28,24
3795,8,23,15,7
3814,9,28,19,19
3833,10,35,25,19
3878,9,38,29,45
3897,9,32,23,19
3961,10,28,18,64
3964,10,27,17,3
3986,15,32,17,11
4012,8,65,57,26
4022,9,55,46,10
4071,9,54,45,5
4082,8,28,20,11
4089,9,29,20,7
4118,9,68,59,29
4168,15,45,30,50
4250,9,27,18,82
4312,10,31,21,62
4360,9,34,25,48
4368,11,43,32,8
4383,14,52,38,15
4391,12,40,28,8
4410,10,92,82,19
4432,8,42,34,22
4486,10,36,26,54
4515,26,61,35,29
4554,9,49,40,39
4560,8,32,24,6
4575,21,62,41,15
4581,8,36,28,6
4593,9,24,15,12
4600,9,54,45,7
4615,9,108,99,15
4658,9,106,97,43
4660,8,63,55,2
4708,10,75,65,48
4709,9,29,20,1
4736,10,28,18,27
4795,8,48,40,59
4823,15,36,21,28
4827,9,29,20,4
4857,11,29,18,30
4879,11,56,45,22
4895,11,50,39,16
4901,11,64,53,6
4980,11,78,67,79
4989,23,69,46,9
4990,9,26,17,1
5045,12,36,24,55
5062,15,37,22,17
5070,9,21,12,8
5075,11,76,65,5
5079,9,61,52,4
5080,11,101,90,1
5096,8,29,21,16
5109,11,43,32,13
5116,15,69,54,7
5122,10,36,26,6
5131,24,49,25,9
5148,15,31,16,17
5155,12,45,33,7
5190,10,62,52,35
5200,11,59,48,10
5223,10,43,33,23
5224,12,52,40,1
5239,26,65,39,15
5266,17,45,28,27
5267,11,26,15,1
5274,9,25,16,7
5284,9,51,42,10
5291,18,45,27,7
5295,9,24,15,4
5325,9,33,24,30
5355,9,35,26,30
5373,11,87,76,18
5388,10,35,25,15
5405,19,61,42,6
5413,9,61,52,8
5429,10,25,15,16
5447,12,62,50,18
5450,11,37,26,3
5493,9,27,18,43
5565,16,82,66,72
5566,9,138,129,1
5572,12,40,28,6
5573,11,29,18,1
5585,11,45,34,12
5589,19,68,49,4
5595,19,50,31,6
5611,24,42,18,16
5654,10,81,71,43
5656,9,29,20,2
5680,13,42,29,24
5687,14,71,57,7
5702,9,32,23,15
5743,13,106,93,41
5757,13,59,46,14
5809,9,25,16,52
5812,9,25,16,3
5844,10,70,60,32
5867,15,37,22,23
5887,11,43,32,20
5893,9,33,24,6
5899,10,48,38,6
5915,12,25,13,16
5920,13,40,27,5
5923,10,22,12,3
5927,9,36,27,4
5933,13,33,20,6
5975,17,48,31,42
5990,14,38,24,15
6023,13,27,14,33
6043,29,63,34,20
6049,11,31,20,6
6060,9,61,52,11
6129,13,35,22,69
6133,10,38,28,4
6153,10,53,43,20
6166,10,28,18,13
6195,12,30,18,29
6202,11,77,66,7
6228,11,57,46,26
6229,13,58,45,1
6232,9,23,14,3
6236,33,57,24,4
6259,27,61,34,23
6320,9,30,21,61
6324,13,83,70,4
6327,13,56,43,3
6338,19,70,51,11
6358,10,70,60,20
6376,16,36,20,18
6385,18,44,26,9
6395,17,69,52,10
6409,11,66,55,14
6425,9,27,18,16
6450,8,160,152,25
6498,9,32,23,48
6511,10,29,19,13
6518,8,26,18,7
6547,9,34,25,29
6571,10,78,68,24
6572,12,39,27,1
6579,11,28,17,7
6603,19,54,35,24
6647,21,54,33,44
6687,8,38,30,40
6708,9,29,20,21
6717,11,95,84,9
6771,11,48,37,54
6791,9,164,155,20
6805,9,32,23,14
6887,11,33,22,82
6896,9,37,28,9
6899,10,55,45,3
6907,10,26,16,8
6908,16,39,23,1
6926,9,41,32,18
6928,21,47,26,2
6939,18,36,18,11
6942,19,97,78,3
6957,12,37,25,15
6958,18,52,34,1
6962,16,53,37,4
6972,25,108,83,10
6974,37,80,43,2
6978,40,81,41,4
6987,72,132,60,9
7016,45,75,30,29
7075,15,35,20,59
7086,8,36,28,11
7087,13,135,122,1
7091,22,58,36,4
7102,16,55,39,11
7113,12,69,57,11
7133,18,48,30,20
7134,30,42,12,1
7165,19,56,37,31
7169,24,49,25,4
7179,25,74,49,10
7198,28,54,26,19
7203,24,42,18,5
7212,34,68,34,9
7218,32,52,20,6
7240,15,31,16,22
7273,8,147,139,33
7278,11,30,19,5
7296,9,42,33,18
7302,10,53,43,6
7308,15,46,31,6
7319,9,90,81,11
7352,9,29,20,17
7373,8,34,26,21
7375,8,159,151,2
7405,8,24,16,30
7409,12,33,21,4
7421,16,53,37,12
7456,10,26,16,35
7523,11,29,18,67
7540,9,28,19,17
7544,16,31,15,4
7556,10,31,21,12
7569,10,39,29,13
7570,9,36,27,1
7587,9,64,55,17
7601,9,31,22,14
7615,10,49,39,14
7627,14,31,17,12
7648,11,32,21,21
7678,10,31,21,30
7687,8,23,15,9
7710,21,88,67,23
7714,11,30,19,4
7715,12,27,15,1
7736,9,88,79,21
7765,8,39,31,29
7773,10,20,10,8
7784,9,26,17,11
7798,10,31,21,14
7822,10,39,29,24
7838,11,34,23,16
7841,9,45,36,3
7876,10,26,16,35
7889,8,41,33,13
7894,21,61,40,5
7897,13,39,26,3
7931,33,84,51,34
7959,9,26,17,23
7966,25,73,48,7
7976,13,58,45,10
8008,9,34,25,32
8028,13,32,19,20
8059,9,44,35,31
8061,10,37,27,2
8076,8,45,37,15
8120,8,35,27,44
8122,19,56,37,2
8126,15,27,12,4
8137,10,33,23,11
8218,14,50,36,49
8236,11,51,40,18
8241,9,66,57,5
8243,14,44,30,2
8321,12,27,15,78
8331,18,72,54,10
8376,8,41,33,45
8390,11,31,20,14
8390,13,60,47,0
8399,10,28,18,9
8414,12,57,45,15
8414,16,83,67,0
8430,11,47,36,16
8433,22,52,30,3
8449,14,41,27,16
8462,13,41,28,13
8483,9,41,32,21
8490,15,54,39,7
8496,9,34,25,6
8527,16,71,55,31
8565,10,79,69,38
8575,11,37,26,10
8597,14,93,79,22
8621,9,33,24,24
8636,9,63,54,15
8642,9,29,20,6
8676,10,31,21,34
8680,12,49,37,4
8712,9,25,16,32
8714,10,50,40,2
8736,11,21,10,22
8737,12,60,48,1
8752,10,68,58,15
8784,9,37,28,32
8788,12,32,20,4
8788,13,96,83,0
8808,13,47,34,20
8842,9,61,52,34
8849,9,29,20,7
8856,9,30,21,7
8866,15,30,15,10
8877,8,24,16,11
8883,8,33,25,6
8895,9,30,21,12
8910,9,30,21,15
8927,10,73,63,17
8931,8,33,25,4
8980,13,39,26,49
8991,15,65,50,11
8998,9,36,27,7
9036,12,35,23,38
9049,10,71,61,13
9049,14,63,49,0
9053,11,36,25,4
9079,9,24,15,15
9097,10,52,42,18
9097,14,48,34,0
9099,16,41,25,2
9114,10,56,46,15
9114,14,95,81,0
9124,11,56,45,10
9133,14,42,28,9
9149,12,112,100,16
9181,27,39,12,32
9191,12,42,30,10
9193,12,35,23,2
9212,8,38,30,19
9236,9,122,113,24
9239,9,56,47,3
9270,11,25,14,31
9301,20,60,40,31
9315,11,77,66,14
9329,14,39,25,14
9342,12,46,34,13
9359,10,43,33,17
9386,9,37,28,27
9411,11,70,59,25
9413,10,49,39,2
9424,13,170,157,11
9428,14,88,74,4
9461,12,134,122,33
9470,23,88,65,9
9482,11,35,24,12
9485,11,43,32,3
9491,20,46,26,6
9512,19,50,31,21
9541,20,49,29,29
9567,10,163,153,26
9571,22,58,36,4
9584,16,39,23,13
9591,10,37,27,7
9594,10,114,104,3
9599,9,23,14,5
9614,14,52,38,15
9621,9,63,54,7
9631,52,86,34,10
9632,8,34,26,1
9663,10,43,33,31
9676,10,26,16,13
9697,13,43,30,21
9704,9,44,35,7
9706,12,27,15,2
9718,9,48,39,12
9725,15,23,8,6
9737,9,34,25,12
9743,12,81,69,6
9747,11,71,60,4
9775,8,98,90,28
9788,12,31,19,13
9791,9,26,17,3
9801,14,42,28,10
9805,16,42,26,4
9817,9,9,0,12
9828,10,39,29,11
9835,13,53,40,7
9871,12,61,49,36
9878,8,37,29,7
9893,9,42,33,15
9900,10,51,41,7
9914,16,52,36,14
9926,9,28,19,12
9926,22,60,38,0
9942,9,86,77,16
9944,15,91,76,0
9953,12,65,53,9
9955,17,34,17,2
9968,11,80,69,13
9974,16,48,32,6
9977,14,37,23,3
9980,11,35,24,3
9995,20,118,98,15
10000,28,51,23,5
10004,35,61,26,4
10010,31,88,57,6
10016,36,66,30,6
10024,43,77,34,8
10029,57,77,20,5
10042,62,100,38,13
10048,62,79,17,1
10055,89,163,74,4
10062,95,124,29,7
10131,27,50,23,69
10133,29,47,18,2
10142,23,64,41,9
10152,15,45,30,10
10191,10,127,117,39
10198,10,56,46,7
10198,16,46,30,0
10226,10,110,100,28
10227,9,30,21,1
10230,29,46,17,3
10271,10,39,29,41
10276,10,59,49,5